item_id,shop_id,shop_location,brand,sold_quantity,discount_price,original_price,discount,liked_count,rating_star,number_of_ratings,cluster
6685849255,65589552,TP. HO CHI MINH,SAMSUNG,16347,2890000,3490000,0.17,4589,4.941774816,2862,0
9764742653,453347243,TP. HO CHI MINH,TECNO,684,2890000,3990000,0.28,863,4.898734177,316,1
7297413303,65589552,TP. HO CHI MINH,SAMSUNG,3270,4390000,5890000,0.25,13413,4.921875,770,1
3400182282,88201679,TP. HO CHI MINH,APPLE,5342,1890000,2400000,0.47,11637,4.90765927,1399,0
9980498489,65589552,TP. HO CHI MINH,SAMSUNG,1615,9590000,2400000,0.4,1777,4.841584158,607,1
5600084939,88201679,TP. HO CHI MINH,APPLE,10075,1890000,2400000,0.5,19965,4.875907112,2781,0
10359777835,308461157,HA NOI,APPLE,2746,1890000,2400000,0.17,5083,4.947176685,550,0
7449694137,193124085,BEN TRE,XIAOMI,2179,2119000,2690000,0.21,129533,4.968253968,819,1
3749587485,11171175,TP. HO CHI MINH,SONY,7336,999000,1880000,0.47,2863,4.085106383,94,0
6841610782,40757878,BEN TRE,XIAOMI,1225,2109000,2490000,0.15,655,4.960629921,381,0
4863021470,331695868,BEN TRE,XIAOMI,798,2129000,2490000,0.14,558,4.965517241,232,2
13101143285,130961937,TP. HO CHI MINH,REALME,1915,3050000,3990000,0.29,944,4.920993228,443,0
9076180614,24876825,HA NOI,LG,1222,3276000,3276000,0,1362,4.860248447,646,1
10115559668,23597245,TP. HO CHI MINH,SAMSUNG,1046,9790000,2400000,0.37,308,4.960629921,381,1
10503840526,191065034,TP. HO CHI MINH,XIAOMI,1292,7490000,8990000,0.17,1701,4.89254766,577,1
10562441676,236538249,TP. HO CHI MINH,XIAOMI,824,1890000,2400000,0,175,4.998058252,515,0
4660739098,88201679,TP. HO CHI MINH,APPLE,1527,1890000,2400000,0.39,5771,4.909259259,545,0
5243443184,288286284,TP. HO CHI MINH,APPLE,1329,1890000,2400000,0.15,8189,4.961995249,421,0
5488834436,191065034,TP. HO CHI MINH,XIAOMI,994,7890000,2400000,0.21,3785,4.932885906,448,1
2521259776,49282974,NGHE AN,SONY,1685,1598000,1598000,0,1202,4.808118081,814,0
3390325317,199249933,NAM DINH,REALME,877,6990000,7590000,0.08,410,4.892670157,382,1
1550180834,49282974,NGHE AN,XIAOMI,2376,1098000,1198000,0.08,1565,4.71349353,1082,0
13928850471,308461157,HA NOI,APPLE,890,1890000,2400000,0.25,2019,4.863468635,271,0
5952371130,108110554,TP. HO CHI MINH,SAMSUNG,2421,745000,1300000,0.49,34,4.458333333,24,0
8239982417,71474818,HA NOI,GOOGLE,431,2540650,2989000,0.15,488,4.802690583,223,2
3649587705,11171175,TP. HO CHI MINH,SONY,6865,1250000,2500000,0.5,2970,4.401960784,102,0
9272220112,458675969,TP. HO CHI MINH,OPPO,5137,3350000,4290000,0.22,1515,4.943833944,836,0
4147613487,11171175,TP. HO CHI MINH,XIAOMI,6460,750000,1450000,0.49,3688,4.385964912,57,0
4551157780,11171175,TP. HO CHI MINH,OPPO,3780,848000,1350000,0.5,206,4.333333333,57,0
1618495113,70094786,TP. HO CHI MINH,NOKIA,536,1390000,1490000,0.07,306,4.639130435,230,0
7249694468,193124085,BEN TRE,XIAOMI,499,2789000,2990000,0.07,134011,4.952631579,190,1
6628544837,204574220,HAI PHONG,GOOGLE,396,1898000,2088000,0.09,715,4.717592593,216,2
8115986306,13442962,TP. HO CHI MINH,SAMSUNG,865,1890000,2400000,0.37,7921,4.884615385,52,2
8561895304,442733715,TP. HO CHI MINH,TECNO,1675,3790000,4990000,0.24,1861,4.848964677,823,1
